Ch.,B,A,x0,y0,Ra,Dec,FWHMx,FWHMy,Mag,Beta,r,Angle,RMSE
0,0.027232,0.198824,3103.86,1915.8,264.908,-32.2983,4.63425,4.28725,-0.760195,-1,0.925122,-88.2934,0.00205755
0,0.0266783,0.108385,3130.93,2246.64,265.137,-32.312,3.81548,3.70334,-0.750743,-1,0.970609,-77.9946,0.0100997
0,0.0266674,0.165567,3450.58,1887.62,264.925,-32.095,4.98301,4.56777,-0.734308,-1,0.916667,-80.7818,0.00162748
0,0.0269429,0.1868,3200.9,2136.38,265.069,-32.2618,4.66338,4.3147,-0.733209,-1,0.925231,-86.2064,0.00193786
0,0.0267235,0.162791,3198.87,2291.31,265.174,-32.2766,5.51794,4.99514,-0.72704,-1,0.905255,-62.329,0.00332445
0,0.0267366,0.175682,3375.67,1773.68,264.84,-32.1282,4.78985,4.38455,-0.723118,-1,0.915383,-85.49,0.00177728
0,0.0263666,0.0946376,2650.29,2478.91,265.245,-32.6101,7.75192,7.58221,-0.722785,-1,0.978106,-10.5266,0.00750582
0,0.0268942,0.18066,3188.93,2338.55,265.205,-32.2865,4.49,4.49,-0.716261,-1,1,-11.9391,0.0019938
0,0.0265454,0.157731,3486.69,2805.51,265.555,-32.1543,4.89863,4.57885,-0.701636,-1,0.934722,-88.4587,0.00149222
0,0.0268831,0.172259,3250.58,2067.84,265.027,-32.227,4.725,4.3366,-0.700206,-1,0.917799,88.1537,0.00170461
0,0.026464,0.160195,2846.59,1817.56,264.813,-32.4382,4.85293,4.40877,-0.685437,-1,0.908475,-85.4952,0.00161094
0,0.0266778,0.170809,2889.96,2139.82,265.038,-32.4419,4.61401,4.26227,-0.674881,-1,0.923766,-87.283,0.00183347
0,0.0266092,0.161865,3401.14,2695.66,265.471,-32.1946,4.41667,4.41621,-0.644518,-1,0.999895,-18.4645,0.00183787
0,0.0264861,0.149776,3155.85,2366.61,265.221,-32.3081,4.73994,4.32357,-0.630927,-1,0.912156,-83.4972,0.00155453
0,0.0260214,0.109189,3503.06,2407.28,265.285,-32.1105,6.33058,5.73645,-0.621392,-1,0.906149,-12.92,0.00424975
0,0.0267544,0.13003,3285.68,2125.55,265.07,-32.2118,4.90997,4.52609,-0.602457,-1,0.921818,-86.4208,0.00181866
0,0.0273698,0.150869,3269.35,2024.48,264.999,-32.2123,4.21866,3.8837,-0.5939,-1,0.9206,-62.9984,0.0030164
0,0.0264032,0.136088,3516.78,2344.71,265.244,-32.0971,4.79228,4.33958,-0.592626,-1,0.905537,-83.0358,0.00142366
0,0.0263769,0.134187,2952.59,2024.78,264.966,-32.3955,4.72093,4.34815,-0.580333,-1,0.921038,-82.963,0.0013967
0,0.0266334,0.134368,3276.94,2083.7,265.041,-32.2131,4.64295,4.33851,-0.573001,-1,0.93443,85.8337,0.00147117
