Ch.,B,A,x0,y0,Ra,Dec,FWHMx,FWHMy,Mag,Beta,r,Angle,RMSE
0,0.0262026,0.10156,3260.25,2090.73,265.044,-32.2234,7.65475,6.94832,-0.73075,-1,0.907713,-20.3603,0.00860425
0,0.0323835,0.201475,3137.54,2149.79,265.071,-32.2997,4.71342,3.91988,-0.727783,-1,0.831641,83.2723,0.0304308
0,0.0263737,0.188909,2996.36,2209.78,265.097,-32.3866,4.87185,4.00063,-0.722139,-1,0.821171,86.5195,0.00141154
0,0.0263718,0.120019,3483.63,2143.7,265.103,-32.0987,7.06927,6.97938,-0.717203,-1,0.987284,-8.17201,0.00841215
0,0.0264672,0.174755,3057.4,1830.7,264.845,-32.3176,4.90113,3.99982,-0.684696,-1,0.816101,84.6075,0.00159859
0,0.0261518,0.16255,3275.57,2421.82,265.271,-32.2436,5.02064,4.1215,-0.675458,-1,0.820911,85.2169,0.00110836
0,0.0265792,0.123345,3013.79,2376.78,265.213,-32.3912,5.21976,4.75214,-0.629066,-1,0.910413,-55.7018,0.0039141
0,0.0261216,0.130119,3707,2772.4,265.555,-32.0236,5.39071,5.27712,-0.611769,-1,0.978929,-0.961126,0.0031832
0,0.0262068,0.148951,3005.78,2000.47,264.955,-32.3626,4.80954,3.9963,-0.598116,-1,0.83091,83.6633,0.00114082
0,0.0260758,0.147429,2846.76,1671.92,264.714,-32.4249,4.75122,4.01318,-0.589499,-1,0.844662,86.2272,0.00113369
0,0.0264555,0.1502,3475.71,2447.91,265.31,-32.1299,4.65609,3.99525,-0.586829,-1,0.85807,-88.1903,0.00144824
0,0.026131,0.138909,3635.7,2033.55,265.044,-32.0007,4.86144,4.07621,-0.580004,-1,0.838479,85.2,0.00109896
0,0.0268808,0.130944,3325.81,1669.34,264.763,-32.1477,3.59525,3.24666,-0.563856,-1,0.903044,-79.4504,0.00569295
0,0.0263938,0.0882712,3656.87,2054.34,265.06,-31.9903,3.28146,3.2746,-0.559134,-1,0.997909,-76.4718,0.00817061
0,0.0260786,0.130094,2917.99,2511.26,265.295,-32.4583,4.36184,4.36165,-0.534288,-1,0.999958,-32.7812,0.00155353
0,0.0260144,0.127161,2769.59,1651.94,264.692,-32.4676,4.40107,4.40107,-0.531584,-1,1,-18.9808,0.00139125
0,0.025841,0.0680981,3509.92,2079.2,265.062,-32.0777,7.00232,6.99986,-0.530476,-1,0.99965,-85.5585,0.00457904
0,0.0258076,0.0892047,2774.96,2672.34,265.391,-32.5549,6.25762,6.10557,-0.501736,-1,0.975702,-12.3315,0.00439935
0,0.0267073,0.114594,3091.6,1919.49,264.909,-32.3057,4.84306,4.05797,-0.495286,-1,0.837894,83.1786,0.00093565
0,0.02605,0.117848,3165.24,2245.91,265.14,-32.2921,4.7995,3.96187,-0.493681,-1,0.825475,85.3047,0.00098952
0,0.0260471,0.0840345,2696.07,2614.31,265.343,-32.5954,6.53618,4.7605,-0.489413,-1,0.72833,0.511784,0.00383258
0,0.0259518,0.0717658,3144.74,2434.63,265.266,-32.3205,7.41799,7.32094,-0.484906,-1,0.986918,-9.26805,0.0056669
0,0.0259226,0.105465,3576.74,2802.67,265.563,-32.1018,5.02016,4.11621,-0.482116,-1,0.819936,-88.1135,0.000812896
0,0.0258753,0.0938624,3324.79,2595.26,265.395,-32.2302,5.6422,5.08398,-0.478365,-1,0.901063,-59.9069,0.0023648
0,0.0258953,0.0879116,3019.51,1823.05,264.836,-32.3388,5.69421,5.20856,-0.47426,-1,0.914712,13.4731,0.0022693
0,0.0259837,0.0904692,2650.23,2478.65,265.245,-32.6101,5.79578,4.97015,-0.470297,-1,0.857547,-21.9876,0.00287173
0,0.0261628,0.103337,3229.73,2215.8,265.126,-32.2521,4.88927,4.07882,-0.460866,-1,0.834239,83.3386,0.000909123
0,0.0253001,0.0435622,2824.13,2781.69,265.471,-32.5358,9.45414,4.99845,-0.459926,-1,0.528705,-49.8746,0.00334346
0,0.0253932,0.0493154,3101.41,2488.11,265.299,-32.3502,8.01812,7.44515,-0.455293,-1,0.928541,-0.321447,0.0035989
0,0.0260217,0.100284,3022.69,2514.64,265.308,-32.3981,4.90941,4.07687,-0.450821,-1,0.83042,88.0108,0.000795595
0,0.025976,0.0939558,3507.66,1856.42,264.91,-32.0592,4.9695,4.26333,-0.448011,-1,0.8579,77.1662,0.00080962
0,0.0259428,0.102642,2995.94,2445.86,265.259,-32.4076,4.87923,3.95399,-0.445978,-1,0.810372,83.0052,0.000825006
0,0.0253047,0.0422747,3685.4,2165.15,265.139,-31.9835,9.263,5.17298,-0.4407,-1,0.558456,-85.5143,0.00288768
0,0.0260382,0.0814249,3215.08,2317.42,265.194,-32.2695,5.44909,5.0262,-0.440609,-1,0.922394,-2.98487,0.00239265
0,0.025939,0.0942196,3564.72,1799.53,264.877,-32.021,4.87927,4.0555,-0.424374,-1,0.831169,81.2364,0.000803853
0,0.0258635,0.0799513,2656.47,2142.21,265.015,-32.5769,5.89436,4.66,-0.422845,-1,0.790586,-56.7147,0.00209674
0,0.0258347,0.086406,3496.63,2677.78,265.469,-32.1376,5.02181,4.17915,-0.41485,-1,0.8322,89.8653,0.000630471
0,0.0259124,0.0700833,3057.05,2146.23,265.06,-32.3459,5.70367,5.58938,-0.386226,-1,0.979963,-12.9756,0.00254563
0,0.0259281,0.0792704,3276.31,2227.93,265.139,-32.2262,4.89573,4.13257,-0.374401,-1,0.844117,88.6224,0.000831621
0,0.0259187,0.0839084,2788.76,2191.71,265.063,-32.505,4.78946,3.9898,-0.374083,-1,0.833037,87.6305,0.000696493
0,0.0260729,0.038658,3298.89,2076.03,265.038,-32.1997,3.76489,3.75278,-0.370667,-1,0.996783,-18.4881,0.00475393
0,0.0259003,0.0768596,3358.97,1882.53,264.912,-32.1477,4.45376,4.41451,-0.35588,-1,0.991188,-63.4576,0.00100338
0,0.0259684,0.0751168,3525.96,2413.77,265.292,-32.0978,4.86536,4.04317,-0.349018,-1,0.831012,-89.2634,0.000660822
0,0.0258317,0.045975,3714.35,1986.11,265.02,-31.9508,7.14966,5.19037,-0.344702,-1,0.725961,89.6633,0.0018696
0,0.0257964,0.0770306,2647.73,2032.89,264.94,-32.5722,4.75642,3.94821,-0.34274,-1,0.83008,87.5253,0.000591
0,0.0258806,0.0749786,2873.36,2214.95,265.088,-32.4582,4.84415,3.98282,-0.342688,-1,0.822192,86.3897,0.000624332
0,0.0259962,0.0597308,3226.97,2521.32,265.334,-32.2804,6.16735,5.87058,-0.339813,-1,0.95188,-11.8147,0.00269433
0,0.0259431,0.0640986,3422.7,2127.15,265.086,-32.1325,5.67641,4.94372,-0.32858,-1,0.870923,72.3398,0.00150269
0,0.0257773,0.0527375,3280.97,2565.29,265.37,-32.253,6.29733,5.80875,-0.326558,-1,0.922415,-8.10571,0.00241852
0,0.0258204,0.0632184,3274.16,1767.6,264.825,-32.1864,3.48358,3.48231,-0.318848,-1,0.999636,88.3319,0.00316016
0,0.0257776,0.0690494,3345.3,1661.89,264.76,-32.1357,4.83113,3.97913,-0.31834,-1,0.823643,86.3339,0.000585796
0,0.0256552,0.0262848,3450.6,2220.2,265.152,-32.1246,9.47507,9.44215,-0.317457,-1,0.996526,-87.7124,0.00338683
0,0.0260072,0.071663,2981.05,2274.85,265.14,-32.4012,4.764,3.86087,-0.316627,-1,0.810425,84.5717,0.000871197
0,0.0253623,0.0323533,3026.03,2471.65,265.279,-32.3924,7.79833,5.28857,-0.312068,-1,0.678167,-18.9711,0.00188558
0,0.0258147,0.033072,3562.25,2083.49,265.07,-32.0477,4.08087,4.07557,-0.311209,-1,0.998702,-81.2082,0.00343721
0,0.0256525,0.0264476,3716.54,1966.22,265.007,-31.9478,9.14385,9.06848,-0.310414,-1,0.991757,-86.521,0.00317827
0,0.0259043,0.0333968,3365.29,2213.47,265.138,-32.1734,3.88058,3.87955,-0.309639,-1,0.999733,-79.5956,0.00403522
0,0.0258463,0.0502292,3618.22,2272.37,265.205,-32.0319,6.95944,4.64822,-0.308778,-1,0.667902,-1.40192,0.00255436
0,0.0258413,0.0514362,2690.57,2025.56,264.939,-32.5469,4.0824,3.66419,-0.298377,-1,0.897558,-78.5931,0.00250391
0,0.0258787,0.0344912,2727.7,1730.63,264.741,-32.4989,3.71836,2.85393,-0.294385,-1,0.767524,-11.8629,0.00455056
0,0.0259414,0.0492687,3639.64,1663.34,264.792,-31.9652,3.93886,3.66982,-0.29235,-1,0.931696,-81.7679,0.0025587
0,0.0257499,0.0581338,3556.8,1866.98,264.922,-32.0316,4.91459,4.07261,-0.283675,-1,0.828676,87.5104,0.00050752
0,0.025724,0.0433891,2814,2675.38,265.397,-32.5326,6.04139,5.84309,-0.267672,-1,0.967176,-7.77562,0.00191121
0,0.025774,0.0533154,3263.73,2352.21,265.223,-32.2444,5.04189,4.26271,-0.267411,-1,0.845459,-69.3602,0.000688645
0,0.0259463,0.0535462,3185.47,2663.25,265.427,-32.3167,5.43458,4.69181,-0.264174,-1,0.863325,-70.6278,0.00120325
0,0.0253347,0.0246292,3273.33,1654.19,264.747,-32.1767,9.25923,4.88862,-0.263077,-1,0.527973,86.5291,0.00156833
0,0.0258096,0.0534665,3586.76,1814.56,264.89,-32.0095,4.76273,4.08125,-0.256599,-1,0.856914,86.4141,0.0005212
0,0.0257688,0.0521898,2802.53,2337.26,265.164,-32.5098,5.21738,4.8157,-0.256532,-1,0.923011,-82.9233,0.00101694
0,0.0258093,0.0518697,3087.95,2733.45,265.465,-32.3792,4.44109,4.44094,-0.253188,-1,0.999966,23.8101,0.000719829
0,0.0257247,0.0518462,3069.3,2375.72,265.218,-32.359,4.90282,3.98465,-0.250793,-1,0.812728,86.3483,0.00048438
0,0.0268152,0.0550426,3191.06,2220.78,265.125,-32.275,4.71119,3.82485,-0.246772,-1,0.811867,88.5878,0.00453694
0,0.025768,0.0481042,2992.92,1954.59,264.923,-32.3659,4.40795,4.39357,-0.232674,-1,0.996737,-53.4592,0.000630685
0,0.02583,0.0381823,2835.64,2277.55,265.127,-32.4855,3.67765,3.36977,-0.229924,-1,0.916284,-77.5572,0.0023016
0,0.0257543,0.0501229,3655.72,1723.69,264.835,-31.9613,4.57006,3.99713,-0.229081,-1,0.874633,-83.4463,0.000458099
0,0.0259588,0.033581,3154.18,2401.61,265.245,-32.3122,3.03081,2.60972,-0.223267,-1,0.861062,-11.1898,0.00345371
0,0.0268233,0.0505615,3195.15,2213.92,265.121,-32.272,4.62287,3.69416,-0.217946,-1,0.799105,85.2676,0.00497503
0,0.0257715,0.0433092,2664.12,1888.54,264.843,-32.5499,3.30059,3.29446,-0.210686,-1,0.998144,-87.6087,0.00210602
0,0.0257368,0.0419899,3271.73,2453.86,265.293,-32.2487,4.94307,4.00668,-0.210007,-1,0.810565,84.2219,0.000408809
0,0.0261397,0.0454165,2712.01,2104.77,264.996,-32.5416,4.77608,3.81721,-0.209137,-1,0.799234,89.3354,0.00192431
0,0.0256652,0.0419548,3133.18,2808.76,265.521,-32.3594,4.87341,3.90664,-0.202376,-1,0.801623,89.667,0.00041562
0,0.0257558,0.0409968,3387.8,2209.1,265.138,-32.16,4.06761,3.75159,-0.202223,-1,0.922307,62.0777,0.000918466
0,0.0257903,0.0400843,3079.75,2088.81,265.023,-32.3277,4.81487,4.1164,-0.201557,-1,0.854934,83.7073,0.000488758
0,0.0257743,0.0188785,3262.43,2747.04,265.492,-32.2793,8.86395,4.9678,-0.200383,-1,0.56045,88.759,0.0015906
0,0.0257508,0.0416343,3057.98,2198.8,265.096,-32.35,4.85554,3.87129,-0.198995,-1,0.797295,-89.6419,0.000432736
0,0.0257008,0.0393066,3211.91,2691.75,265.449,-32.3039,4.87257,4.0414,-0.196709,-1,0.829418,89.704,0.000457146
0,0.0255797,0.0165866,3437.39,1986.21,264.991,-32.1115,8.91105,8.68959,-0.187178,-1,0.975148,-85.8599,0.00180096
0,0.0257258,0.0308951,2972.39,2018.1,264.964,-32.3835,6.14712,5.0888,-0.181404,-1,0.827835,-66.7946,0.000998848
0,0.0256752,0.0338612,3621.67,2208.37,265.162,-32.0243,5.03466,4.15586,-0.181314,-1,0.82545,-85.581,0.000404333
0,0.0256677,0.0239178,3304.17,1828.06,264.869,-32.1745,8.18766,8.0654,-0.178351,-1,0.985069,3.59743,0.00224767
0,0.0256856,0.0240195,3187.86,1783.62,264.827,-32.2378,3.94733,3.70288,-0.177323,-1,0.938073,-78.7529,0.00180208
0,0.0257118,0.0334965,3619.4,2004.25,265.022,-32.0075,5.29432,4.65051,-0.176488,-1,0.878396,-79.0139,0.000601052
0,0.0256797,0.0342848,3331.9,1901.31,264.922,-32.165,4.83954,3.98121,-0.170344,-1,0.822642,84.8485,0.000394584
0,0.0256895,0.0307966,3509.4,2721.72,265.5,-32.134,4.95121,4.13933,-0.163095,-1,0.836023,-88.5422,0.000379039
